8474 8474 1 98 510.467
8558 8558 1 84 367.654
8633 8633 1 75 381.219
8707 8707 1 74 372.773
8778 8778 1 71 370.452
8910 8910 1 132 602.692
9011 9011 1 101 502.75
9091 9091 1 80 356.708
9156 9156 1 65 337.796
9208 9208 1 52 276.261
9261 9261 1 53 286.827
9328 9328 1 67 343.014
9445 9445 1 117 590.44
9515 9515 1 70 365.423
9590 9590 1 75 399.343
9659 9659 1 69 370.046
9721 9721 1 62 310.851
9802 9802 1 81 420.428
9868 9868 1 66 335.891
9927 9927 1 59 313.014
10021 10021 1 94 484.926
10109 10109 1 88 447.997
10186 10186 1 77 339.77
10283 10283 1 97 486.155
10353 10353 1 70 319.22
10448 10448 1 95 490.352
10517 10517 1 69 340.309
10588 10588 1 71 344.981
10651 10651 1 63 336.69
10739 10739 1 88 391.358
10837 10837 1 98 483.183
10928 10928 1 91 429.366
11020 11020 1 92 448.915
11094 11094 1 74 331.504
11169 11169 1 75 337.099
11240 11240 1 71 356.816
11311 11311 1 71 355.156
11370 11370 1 59 296.237
11468 11468 1 98 466.657
11550 11550 1 82 410.263
11607 11607 1 57 268.954
11685 11685 1 78 396.764
11750 11750 1 65 341.947
11835 11835 1 85 454.732
11914 11914 1 79 357.079
11998 11998 1 84 440.075
12072 12072 1 74 322.298
12130 12130 1 58 310.527
12234 12234 1 104 473.87
12304 12304 1 70 373.047
12393 12393 1 89 410.98
12465 12465 1 72 369.459
12566 12566 1 101 520.856
12661 12661 1 95 495.338
12735 12735 1 74 331.051
12812 12812 1 77 388.045
12868 12868 1 56 299.019
12964 12964 1 96 439.927
13042 13042 1 78 398.18
13098 13098 1 56 244.365
13175 13175 1 77 388.989
13244 13244 1 69 311.593
13365 13365 1 121 607.532
13461 13461 1 96 492.886
13529 13529 1 68 361.669
13631 13631 1 102 466.986
13716 13716 1 85 444.237
13878 13878 1 162 761.653
13957 13957 1 79 408.618
14043 14043 1 86 418.764
14111 14111 1 68 345.405
14182 14182 1 71 309.754
14247 14247 1 65 331.673
14299 14299 1 52 230.883
14380 14380 1 81 420.299
14458 14458 1 78 343.991
14523 14523 1 65 346.978
14594 14594 1 71 372.793
14660 14660 1 66 326.053
14738 14738 1 78 384.838
14817 14817 1 79 416.069
14871 14871 1 54 287.186
14931 14931 1 60 319.983
14993 14993 1 62 325.831
15080 15080 1 87 445.257
15142 15142 1 62 327.364
15207 15207 1 65 294.219
15299 15299 1 92 414.669
15396 15396 1 97 513.423
15486 15486 1 90 420.712
15546 15546 1 60 311.483
15613 15613 1 67 325.884
15677 15677 1 64 292.528
15800 15800 1 123 630.502
15866 15866 1 66 350.341
15939 15939 1 73 383.783
15989 15989 1 50 263.36
16063 16063 1 74 377.594
16155 16155 1 92 449.279
16225 16225 1 70 371.504
16328 16328 1 103 474.642
16404 16404 1 76 395.178
16490 16490 1 86 439.684
16576 16576 1 86 386.609
16660 16660 1 84 392.807
16770 16770 1 110 551.865
16841 16841 1 71 335.138
16908 16908 1 67 345.981
17013 17013 1 105 515.175
17093 17093 1 80 418.396
17211 17211 1 118 539.041
17300 17300 1 89 454.802
17380 17380 1 80 415.859
17428 17428 1 48 239.467
17511 17511 1 83 439.943
17590 17590 1 79 408.165
17686 17686 1 96 500.395
17792 17792 1 106 539.656
17890 17890 1 98 440.755
17968 17968 1 78 409.619
18053 18053 1 85 430.71
18152 18152 1 99 450.246
18221 18221 1 69 314.337
18298 18298 1 77 395.223
18446 18446 1 148 680.851
18550 18550 1 104 489.157
18639 18639 1 89 397.048
18703 18703 1 64 305.091
18759 18759 1 56 286.419
18857 18857 1 98 504.379
18915 18915 1 58 298.396
19010 19010 1 95 443.69
19104 19104 1 94 476.926
19186 19186 1 82 409.047
19267 19267 1 81 370.944
19346 19346 1 79 408.375
19411 19411 1 65 323.136
19496 19496 1 85 388.505
19584 19584 1 88 402.279
19696 19696 1 112 521.338
19775 19775 1 79 365.148
19901 19901 1 126 644.344
19995 19995 1 94 421.745
20078 20078 1 83 407.994
20154 20154 1 76 379.133
20210 20210 1 56 285.325
20311 20311 1 101 512.223
20401 20401 1 90 431.255
20476 20476 1 75 374.302
20563 20563 1 87 449.007
20682 20682 1 119 601.68
20759 20759 1 77 406.412
20828 20828 1 69 362.432
20900 20900 1 72 310.678
20995 20995 1 95 433.676
21068 21068 1 73 328.992
21158 21158 1 90 466.691
21238 21238 1 80 361.315
21309 21309 1 71 333.303
